sõna	liik	kokku	aja	ilu
aabits	S	16	14	2
aade	S	9	8	1
aadress	S	72	35	37
aamen	D	10	1	9
aaria	A/S	6	2	4
aas	S/S	25	21	4
aasima	V	5	3	2
aasta	S	3337	2699	638
aastaaeg	S	14	4	10
aastakäik	S	7	5	2
aastakümme	S	50	35	15
aastane	A	48	28	20
aastapalk	S	6	5	1
aastapäev	S	29	27	2
aastasada	S	13	4	9
aastatepikkune	A	8	5	3
aastatetagune	A	6	4	2
aastatuhat	S	14	10	4
aastavahetus	S	10	9	1
aatemees	S	5	4	1
abi	S	326	187	139
abielluma	V	33	9	24
abiellumine	S	12	1	11
abielu	S	77	28	49
abielumees	S	6	1	5
abielupaar	S	8	6	2
abikaasa	S	100	60	40
abil	D	112	81	31
abiline	S	12	3	9
abinõu	S	23	15	8
abisaadetis	S	5	3	2
abistama	V	20	12	8
abistamine	S	13	12	1
abistav	A	9	6	3
abitu	A	32	8	24
abitult	D	19	4	15
abiturient	S	5	4	1
abitus	S	7	2	5
abivalmis	A	8	3	5
abort	S	16	7	9
absoluutne	A	15	11	4
absoluutselt	D	28	12	16
abstraktne	A	13	9	4
absurd	S	11	6	5
absurdne	A	22	12	10
adekvaatne	A	6	5	1
ader	S	6	2	4
administraator	S	5	4	1
administratsioon	S	10	9	1
admiral	S	10	8	2
adrenaliin	S	5	3	2
adresseerima	V	11	7	4
aduma	V	10	4	6
advokaat	S	48	18	30
aed	S	150	37	113
aedik	S	6	3	3
aednik	S	6	1	5
aedvili	S	7	6	1
aeg	S	2387	1078	1309
aega	D	26	15	11
aegajalt	D	19	6	13
aeg-ajalt	D	106	37	69
aegamööda	D	14	5	9
aeglane	A	32	9	23
aeglaselt	D	61	5	56
aeglasem	A	8	5	3
aeglasemalt	D	6	3	3
aeglustama	V	11	3	8
aegluubis	D	7	1	6
aegsasti	D	11	6	5
aeguma	V	12	9	3
aer	S	11	1	10
afäär	S	6	3	3
aga	D	5276	1817	3459
agar	A/S	7	3	4
agaralt	D	6	2	4
agent	S	16	6	10
agressiivne	A	6	4	2
agronoom	S	8	5	3
agul	S	7	2	5
ah	D	144	4	140
ahaa	D	10	1	9
ahah	D	9	2	7
ahastus	S	12	1	11
ahel	S	16	4	12
ahhaa	D	7	5	2
ahhetama	V	7	1	6
ahi	S	52	20	32
ahistama	V	13	8	5
ahistav	A	5	2	3
ahjusuu	S	5	1	4
ahmima	V	9	2	7
ahne	A	6	1	5
ahnus	S	10	2	8
ahter	S	17	12	5
ahvatlema	V	11	7	4
ahvatlev	A	9	7	2
ahvatlus	S	5	1	4
ahven	S	8	2	6
ai	D	59	5	54
aiamaa	S	6	2	4
aiamaja	S	5	4	1
aiasaadus	S	5	4	1
aim	S	40	15	25
aimama	V	109	12	97
aimatav	A	6	1	5
aimdus	S	7	3	4
aimuma	V	5	1	4
aimus	S	9	1	8
aina	D	159	34	125
aine	S	48	28	20
aineline	A	8	4	4
aines	S	6	5	1
ainuke	A	87	49	38
ainukene	S	6	1	5
ainulaadne	A	6	5	1
ainult	D	1382	502	880
ainus	A	245	112	133
ainuvõimalik	A	6	2	4
ainuõige	A	7	4	3
ainuüksi	D	52	34	18
ais	S	5	3	2
ait	S	33	5	28
aitama	V	413	220	193
aitamine	S	5	3	2
aitäh	D	23	4	19
ajaarvamine	S	5	3	2
ajajärk	S	5	2	3
ajakiri	S	54	25	29
ajakirjandus	S	101	93	8
ajakirjanik	S	126	96	30
ajal	D	294	179	115
ajalehepaber	S	7	3	4
ajaleht	S	218	133	85
ajaline	A	6	1	5
ajaliselt	D	5	3	2
ajaloolane	S	41	22	19
ajalooline	S	59	51	8
ajalooliselt	D	7	6	1
ajalooteadus	S	5	4	1
ajalooõpetaja	S	6	4	2
ajalugu	S	168	112	56
ajama	V	491	138	353
ajamine	S	10	9	1
ajapikendus	S	9	6	3
ajapikku	D	19	12	7
ajastu	S	43	26	17
ajav	A	6	2	4
ajavahemik	S	18	17	1
ajaviide	S	11	3	8
ajel	D	5	1	4
ajend	S	15	12	3
ajendama	V	11	9	2
aju	S	48	11	37
ajuti	D	8	5	3
ajutine	A	33	27	6
ajutiselt	D	25	20	5
akadeemia	S	60	48	12
akadeemik	S	26	15	11
akadeemiline	A	18	14	4
aken	S	384	69	315
aknaklaas	S	20	8	12
aknalaud	S	26	2	24
aknaraam	S	5	3	2
akt	S	31	24	7
aktiivne	A	44	43	1
aktiivselt	D	17	16	1
aktiivsus	S	22	20	2
aktsent	S	11	5	6
aktsepteerima	V	21	19	2
aktsia	S	297	293	4
aktsiaselts	S	88	86	2
aktsioon	S	16	11	5
aktuaalne	A	19	16	3
akvarell	S	7	5	2
ala	S	113	88	25
alaealine	A	29	25	4
alahindama	V	14	11	3
alakeha	S	7	1	6
alal	D	32	27	5
alaline	A	22	17	5
alalõpmata	D	6	2	4
alam	A/S	17	3	14
alandama	V	30	18	12
alandav	A	5	1	4
alandlik	A	11	1	10
alandlikkus	S	5	1	4
alandus	S	10	2	8
alasi	S	8	5	3
alasti	D	40	3	37
alatasa	D	10	2	8
alateadlikult	D	5	3	2
alateadvus	S	15	1	14
alati	D	501	178	323
alatine	A	5	1	4
alatiseks	D	7	3	4
album	S	35	28	7
aldis	A	5	3	2
alev	S	19	7	12
alevik	S	14	5	9
algaja	S	14	4	10
algama	V	506	369	137
algataja	S	10	9	1
algatama	V	68	67	1
algatus	S	23	18	5
algav	A	18	13	5
alge	S/S	5	1	4
algeline	A	7	1	6
algklass	S	11	7	4
algkool	S	7	3	4
algselt	D	20	16	4
algul	D	196	118	78
algus	S	399	269	130
alistuma	V	11	3	8
alkohol	S	85	77	8
alkoholijoove	S	5	4	1
alkohoolik	S	7	3	4
alkohoolne	A	5	4	1
all	D	722	253	469
alla	D	936	397	539
allapoole	D	32	13	19
allasutus	S	9	8	1
allee	S	5	1	4
alles	D	596	232	364
allesjäänud	A	9	5	4
allianss	S	6	5	1
allikas	S	59	47	12
allilm	S	16	15	1
allkiri	S	59	37	22
all-linn	S	9	3	6
allohvitser	S	11	6	5
allpool	D	16	4	12
alluma	V	41	26	15
allutama	V	18	17	1
alluv	A/S	42	35	7
alt	S/D	214	73	141
altar	S	9	2	7
alternatiiv	S	19	18	1
altkulmu	D	6	1	5
altkäemaks	S	15	13	2
alumine	A	32	7	25
alune	A	30	26	4
alus	S	249	223	26
aluspesu	S	5	1	4
aluspüks	S	8	1	7
alustama	V	341	231	110
alustamine	S	27	23	4
alustus	S	9	8	1
ambur	S	18	15	3
ameerika	A	20	15	5
ameeriklane	S	54	43	11
amet	S	247	190	57
ametiasutus	S	7	5	2
ametiauto	S	8	7	1
ametiisik	S	14	13	1
ametikoht	S	53	46	7
ametimees	S	18	5	13
ametipost	S	9	8	1
ametivõim	S	5	4	1
ametiühing	S	16	12	4
ametkond	S	9	8	1
ametlik	A	96	79	17
ametlikult	D	37	33	4
ametnik	S	168	108	60
ammendama	V	6	3	3
ammendamatu	A	5	1	4
ammu	D	142	40	102
ammugi	D	19	3	16
ammune	A	15	2	13
ammutama	V	12	5	7
amnestia	S	6	1	5
analoog	S	11	9	2
analoogiline	A	11	8	3
analüüs	S	38	27	11
analüüsima	V	24	21	3
andekam	A	7	4	3
andekas	A	36	16	20
andeks	D	56	2	54
andekus	S	6	2	4
andestama	V	23	6	17
andestus	S	7	1	6
andev	A	12	10	2
andja	S	6	4	2
andma	V	2019	1108	911
andmed	S	265	246	19
andmine	S	93	82	11
andunult	D	5	2	3
anekdoot	S	18	10	8
angerjas	S	6	5	1
ankeet	S	6	5	1
ankur	S/S	10	3	7
anne	S	22	9	13
annetama	V	16	14	2
annetus	S	12	10	2
annus	S	24	20	4
anonüümne	A	11	9	2
ansambel	S	27	16	11
antav	A	11	10	1
antenn	S	6	1	5
antiikne	A	6	2	4
anum	S	5	2	3
anuma	V	16	1	15
aparaat	S	28	10	18
apelsin	S	6	5	1
aplaus	S	10	3	7
aprill	S	129	124	5
aps	S	10	8	2
apteek	S	19	9	10
apteeker	S	5	1	4
araabia	A	7	5	2
araablane	S	14	4	10
areen	S	15	14	1
arendama	V	58	45	13
arendamine	S	38	37	1
arenema	V	96	73	23
arenev	A	7	6	1
areng	S	158	142	16
arenguruum	S	11	10	1
arest	S	5	4	1
arg	A	32	3	29
argielu	S	8	4	4
argipäev	S	18	11	7
arglik	A	5	1	4
argument	S	25	16	9
argus	S	20	1	19
arheoloogia	S	11	10	1
arhiiv	S	37	33	4
arhitekt	S	33	26	7
arhitektuur	S	5	3	2
arm	S/S	43	12	31
armas	A	67	12	55
armastama	V	196	41	155
armastatu	S	17	4	13
armastav	A	16	4	12
armastus	S	181	60	121
armee	S	43	23	20
armeenia	A	6	3	3
armetu	A	23	1	22
armsam	A/S	8	1	7
armuasi	S	6	5	1
armukadedus	S	8	1	7
armuke	S	23	7	16
armuma	V	33	6	27
armunu	S	16	2	14
aroom	S	5	3	2
arreteerima	V	12	7	5
arreteerimine	S	6	5	1
arst	S	228	111	117
arstiteaduskond	S	7	6	1
artikkel	S	88	68	20
artist	S	12	10	2
aru	S/S	569	179	390
aruanne	S	36	30	6
arukalt	D	6	4	2
arukas	A	30	5	25
arukus	S	7	3	4
arupärimine	S	8	7	1
arusaadav	A	29	17	12
arusaadavalt	D	6	3	3
arusaam	S	43	32	11
arusaamatu	A	42	17	25
arusaamatus	S	21	13	8
arusaamine	S	26	9	17
arutama	V	166	115	51
arutamine	S	27	22	5
arutelu	S	30	27	3
arutlema	V	40	24	16
arutlus	S	22	16	6
arutu	A	19	2	17
arutus	S/S	14	12	2
arv	S	212	180	32
arvama	V	1048	556	492
arvamine	S	8	2	6
arvamus	S	151	126	25
arvamusavaldus	S	5	4	1
arvatav	A	5	2	3
arvatavasti	D	67	36	31
arve	S	139	63	76
arvel	D	25	20	5
arvele	D	22	11	11
arvelt	D	35	34	1
arvestama	V	218	171	47
arvestatav	A	27	23	4
arvestus	S	33	30	3
arvukalt	D	5	2	3
arvukas	A	14	9	5
arvustus	S	9	7	2
arvutama	V	30	19	11
arvutamine	S	12	10	2
arvuti	S	105	92	13
ase	S	95	41	54
asedirektor	S	13	10	3
aseesimees	S	51	36	15
asemel	D	182	86	96
asemele	D	38	19	19
asend	S	23	4	19
asendaja	S	9	5	4
asendama	V	47	33	14
asendamine	S	10	8	2
asenduma	V	13	6	7
asetama	V	105	33	72
asetsema	V	8	1	7
asetsev	A	6	3	3
asetuma	V	6	2	4
asetäitja	S	53	45	8
asfalt	S	21	5	16
asi	S	1256	527	729
asitõend	S	9	7	2
asjaajamine	S	19	15	4
asjaarmastaja	S	5	3	2
asjakohane	A	10	8	2
asjalik	A	30	14	16
asjalikult	D	19	2	17
asjamees	S	16	8	8
asjaolu	S	97	58	39
asjaosaline	A	22	16	6
asjata	D	20	3	17
asjatu	A	24	8	16
asjatult	D	12	6	6
asjatundja	S	47	44	3
asjatundlik	A	6	4	2
asjatundmatu	A	6	5	1
askeldama	V	19	4	15
askeldamine	S	9	3	6
assistent	S	6	5	1
assotsiatsioon	S	7	6	1
astang	S	5	2	3
aste	S/S	35	22	13
aster	S	19	1	18
astma	S	5	3	2
astmeline	A	5	4	1
astronaut	S	6	5	1
astuja	S	5	3	2
astuma	V	599	146	453
astumine	S	29	15	14
astuv	A	6	5	1
asukas	S	8	4	4
asukoht	S	31	27	4
asula	S	29	7	22
asuma	V	394	229	165
asumine	S	17	10	7
asundus	S	7	6	1
asunik	S	7	5	2
asupaik	S	12	6	6
asustama	V	10	5	5
asutama	V	48	40	8
asutus	S	90	54	36
asuv	A	184	159	25
ateljee	S	13	4	9
atentaat	S	7	6	1
atlas	S	6	5	1
atmosfäär	S	7	5	2
atraktiivne	A	9	8	1
au	S	110	62	48
auahnus	S	10	2	8
auditoorium	S	10	5	5
august	S	229	199	30
augustikuu	S	5	4	1
auhind	S	52	49	3
auk	S	102	49	53
aukartus	S	13	3	10
aukartustäratav	A	6	5	1
auklik	A	11	3	8
aula	S	9	4	5
aur	S	12	1	11
aura	S	7	1	6
aurama	V	11	1	10
aurav	A	6	2	4
aus	A	55	27	28
ausalt	D	45	19	26
ausammas	S	14	5	9
austaja	S	7	2	5
austama	V	21	11	10
austav	A	7	5	2
austus	S	16	9	7
ausus	S	16	8	8
auto	S	636	359	277
autobiograafiline	A	5	4	1
autojuht	S	68	33	35
autokauplus	S	5	2	3
automaat	S	34	15	19
automaatselt	D	17	12	5
autoomanik	S	11	10	1
autor	S	149	124	25
autoriteet	S	16	9	7
auväärne	A	10	3	7
ava	S	29	9	20
avakontsert	S	7	5	2
avaldama	V	221	176	45
avaldamine	S	19	15	4
avalduma	V	24	17	7
avaldus	S	145	137	8
avalik	A	132	122	10
avalikkus	S	61	53	8
avalikult	D	33	25	8
avalikustama	V	49	47	2
avalikustamine	S	12	9	3
avama	V	448	266	182
avameelne	A	6	2	4
avameelselt	D	9	5	4
avamine	S	63	45	18
avamäng	S	7	6	1
avanema	V	80	22	58
avanev	A	12	6	6
avar	A	30	6	24
avaram	A	8	5	3
avardama	V	8	4	4
avarii	S	54	45	9
avarus	S	21	4	17
avastama	V	121	63	58
avastamine	S	20	16	4
avastus	S	14	8	6
avatav	A	13	11	2
avatum	A	5	4	1
avatus	S	13	12	1
baar	S	73	46	27
baarilett	S	5	2	3
baas	S	41	37	4
bakter	S	6	5	1
balansseerima	V	5	2	3
balti	A	133	125	8
baltisaksa	A	6	5	1
baltisakslane	S	8	7	1
banaalne	A	9	1	8
banaan	S	7	5	2
banaanivabariik	S	5	4	1
bandiit	S	14	2	12
barakk	S	26	1	25
barett	S	9	2	7
bariton	S	9	5	4
barjäär	S	8	1	7
baseeruv	A	5	4	1
bassein	S	11	4	7
beebi	S	7	2	5
beib	S	5	4	1
bensiin	S	25	19	6
betoon	S	5	4	1
bilansimaht	S	11	10	1
binokkel	S	6	1	5
biograafia	S	6	5	1
bioloog	S	8	3	5
bioloogia	S	9	2	7
bioloogiline	A	7	5	2
blankett	S	6	3	3
blokeerima	V	8	7	1
blokk	S	10	9	1
blond	A/S	16	4	12
blondiin	S	7	1	6
boks	S	8	7	1
boss	S	21	14	7
botaanika	S	7	4	3
botaanikaaed	S	8	6	2
brigaad	S	7	1	6
britt	S	37	33	4
brünett	A/S	15	2	13
buss	S	208	93	115
bussijaam	S	11	6	5
bussijuht	S	31	20	11
bussipeatus	S	23	10	13
bussipilet	S	6	5	1
bussiraha	S	6	1	5
buum	S	8	6	2
büroo	S	40	32	8
daam	S	121	32	89
defitsiit	S	19	15	4
delegatsioon	S	45	40	5
delikaatne	A	9	4	5
demokraat	S	7	6	1
demokraatia	S	56	53	3
demokraatlik	A	73	71	2
demonstratiivselt	D	5	1	4
demonstratsioon	S	5	3	2
demonstreerima	V	15	8	7
depressioon	S	10	8	2
detail	S	39	23	16
detsember	S	137	129	8
detsembrikuu	S	6	4	2
diagnoos	S	14	7	7
diagnoosima	V	9	8	1
dialektiline	A	6	1	5
dialoog	S	17	15	2
dieet	S	5	4	1
diivan	S	39	1	38
diktaator	S	5	4	1
dikteerima	V	17	8	9
diktor	S	8	2	6
dimensioon	S	7	5	2
diplom	S	9	4	5
diplomaadikohver	S	5	1	4
diplomaat	S	44	39	5
diplomaatiline	A	22	18	4
direktor	S	214	144	70
dirigeerima	V	5	4	1
dirigent	S	23	22	1
diskreetne	A	5	1	4
diskussioon	S	21	19	2
dissident	S	9	4	5
distants	S	25	23	2
distsipliin	S	10	5	5
diversant	S	5	1	4
diviis	S	5	1	4
doktor	S	49	22	27
dokument	S	115	98	17
dokumentatsioon	S	7	6	1
dollar	S	225	199	26
domineerima	V	14	13	1
domineeriv	A	6	5	1
dotsent	S	10	3	7
draakon	S	8	3	5
draama	S	20	18	2
dramaatiline	A	6	3	3
dramaatiliselt	D	5	3	2
dress	S	8	3	5
duell	S	17	14	3
duett	S	7	5	2
dushsh	S	8	7	1
dünastia	S	8	3	5
eakaaslane	S	6	4	2
eakas	A	12	7	5
eales	D	12	2	10
ebaaus	A	7	5	2
ebaeetiline	A	7	6	1
ebaharilik	A	9	5	4
ebakindel	A	16	5	11
ebakindlus	S	14	11	3
ebakõla	S	9	2	7
ebaloomulik	A	5	1	4
ebamaine	A	6	1	5
ebameeldiv	A	37	12	25
ebameeldivus	S	12	4	8
ebamugav	A	22	7	15
ebamugavalt	D	6	1	5
ebamäärane	A	30	4	26
ebareaalne	A	7	5	2
ebaseaduslik	A	43	37	6
ebaselge	A	7	6	1
ebasoodne	A	6	2	4
ebatavaline	A	7	3	4
ebatõenäoline	A	6	4	2
ebatäpne	A	8	6	2
ebavõrdne	A	10	8	2
ebaõiglane	A	14	7	7
ebaõiglus	S	6	4	2
ebaõnnestuma	V	19	16	3
ebaõnnestumine	S	11	10	1
ebaühtlane	A	9	7	2
edasi	D	608	234	374
edasiliikumine	S	8	5	3
edasiminek	S	8	6	2
edasine	A	47	27	20
edasi-tagasi	D	36	8	28
edaspidi	D	94	59	35
edaspidine	A	18	13	5
edastama	V	24	20	4
edastamine	S	5	4	1
edendama	V	8	7	1
edendamine	S	8	7	1
edenema	V	33	18	15
edenemine	S	7	5	2
edu	S	96	80	16
edukalt	D	29	24	5
edukam	A	13	11	2
edukas	A	74	67	7
edusamm	S	9	7	2
edvistama	V	5	1	4
eel	D	54	42	12
eelarvamus	S	7	4	3
eelarve	S	179	178	1
eeldama	V	59	45	14
eeldus	S	37	30	7
eelis	S	34	30	4
eelistama	V	90	73	17
eelistus	S	29	28	1
eelkõige	D	126	117	9
eelkäija	S	14	10	4
eelmine	A	358	292	66
eelne	A	6	4	2
eelnema	V	16	12	4
eelnev	A	35	25	10
eelnevalt	D	24	22	2
eelolev	A	24	22	2
eelseisev	A	15	14	1
eeltingimus	S	12	11	1
eeltöö	S	8	6	2
eelviimane	A	8	5	3
eemal	D	84	17	67
eemaldama	V	27	18	9
eemalduma	V	22	5	17
eemale	D	116	29	87
eemalt	D	34	2	32
ees	D	746	237	509
eesel	S	9	1	8
eeskiri	S	20	16	4
eeskuju	S	58	40	18
eeskujulik	A	7	4	3
eeskätt	D	38	32	6
eesmärk	S	229	186	43
eesnimi	S	7	3	4
eesots	S	28	23	5
eespool	D	24	13	11
eesriie	S	6	1	5
eesruum	S	6	1	5
eest	D	1307	769	538
eesti	A	406	328	78
eestikeelne	A	36	33	3
eestimaalane	S	9	6	3
eestkostja	S	5	4	1
eestlane	S	377	300	77
eestvedaja	S	16	14	2
eestvedamine	S	10	8	2
eeter	S/S	23	14	9
eetika	S	17	9	8
eetiline	A	19	12	7
efekt	S	22	17	5
efektiivne	A	14	13	1
efektiivsem	A	10	9	1
efektne	A	5	3	2
ega	D	1204	355	849
egas	D	14	2	12
ehe	A/S	20	9	11
ehitaja	S	29	15	14
ehitama	V	256	166	90
ehitamine	S	83	77	6
ehitav	A/A	5	3	2
ehitis	S	51	43	8
ehitus	S	92	78	14
ehitusjärk	S	5	4	1
ehitusmaterjal	S	6	3	3
ehitustöö	S	17	14	3
ehk	D	685	350	335
ehkki	D	188	72	116
ehmatama	V	38	6	32
ehmatav	A	5	2	3
ehmatus	S	28	2	26
ehmuma	V	36	4	32
ehmunult	D	13	1	12
ehtima	V	25	9	16
ehtne	A	31	12	19
ei	D/V	13813	5456	8357
eideke	S	10	1	9
eile	D	638	560	78
eilne	A	133	102	31
eimiski	P/S	8	1	7
eine	S	6	1	5
eirama	V	14	10	4
eiramine	S	5	4	1
eit	S	31	4	27
eitama	V	32	24	8
eitav	A	6	3	3
eitavalt	D	8	7	1
eitus	S	5	2	3
ekraan	S	57	38	19
eks	D	263	63	200
eksam	S	26	8	18
eksemplar	S	15	14	1
eksima	V	78	18	60
eksimatult	D	5	1	4
eksimus	S	17	11	6
eksisteerima	V	34	23	11
eksitus	S	28	5	23
eksklusiivne	A	5	4	1
ekskursioon	S	14	3	11
ekslik	A	8	7	1
eksootiline	A	11	6	5
eksperiment	S	14	11	3
ekspert	S	65	61	4
ekspertiis	S	41	34	7
eksponaat	S	16	15	1
eksponeerima	V	14	13	1
ekspress	S	36	35	1
ekstreemne	A	6	5	1
elades	D	16	10	6
elama	V	815	288	527
elamine	S	31	14	17
elamisluba	S	17	16	1
elamispind	S	13	11	2
elamu	S	60	53	7
elamurajoon	S	8	5	3
elamus	S	18	8	10
elanik	S	193	169	24
elanikkond	S	34	31	3
elatis	S	7	2	5
elatusmiinimum	S	11	10	1
elav	A/S	123	71	52
elavalt	D	7	1	6
elavam	A	5	4	1
elavnema	V	18	3	15
elegantne	A	18	7	11
elekter	S	52	35	17
elektrijaam	S	46	39	7
elektrik	S	5	1	4
elektriliin	S	6	5	1
elektriline	A	10	6	4
elektrivõrk	S	6	5	1
elektrooniline	A	10	9	1
element	S	17	12	5
elementaarne	A	14	12	2
elevant	S	21	9	12
elevus	S	12	5	7
elitaarne	A	5	4	1
ellujäämine	S	6	4	2
elu	S	1088	398	690
eluaasta	S	30	20	10
eluaeg	S	42	12	30
eluaegne	A	13	6	7
eluala	S	10	7	3
eluase	S	22	11	11
eluiga	S	9	7	2
elujõud	S	11	7	4
elujõuline	A	11	7	4
elujärg	S	5	2	3
elukaaslane	S	12	7	5
elukas	S	9	2	7
elukeskkond	S	6	5	1
elukindlustus	S	28	27	1
elukoht	S	20	16	4
elukutse	S	18	10	8
elukutseline	A	16	11	5
elulaad	S	8	4	4
eluline	A	5	4	1
elulooline	A	7	4	3
elulugu	S	46	13	33
elumaja	S	24	11	13
eluohtlik	A	11	7	4
elupaik	S	5	2	3
elupäev	S	16	5	11
eluruum	S	18	16	2
elurõõm	S	5	3	2
elurõõmus	A	9	3	6
elus	A	78	22	56
elusolend	S	13	2	11
elustama	V	11	4	7
elustuma	V	8	2	6
elutahe	S	5	1	4
elutee	S	7	3	4
elutu	A	11	1	10
elutuba	S	24	7	17
elutöö	S	16	10	6
eluviis	S	18	11	7
ema	S	795	125	670
ema-isa	S	9	5	4
emakeel	S	26	17	9
emand	S	12	2	10
emane	A/S	21	1	20
embus	S	13	1	12
emigrant	S	5	1	4
emme	S	13	3	10
emotsionaalne	A	18	13	5
emotsioon	S	11	6	5
enam	A/D	1423	492	931
enamasti	D	124	66	58
enamik	S	198	156	42
enamjaolt	D	6	3	3
enamlane	S	9	2	7
enampakkumine	S	31	29	2
enamus	S	43	35	8
enamvähem	D	9	8	1
enam-vähem	D	56	34	22
endastmõistetav	A	9	3	6
endine	A	391	248	143
endisaegne	A	7	2	5
endiselt	D	111	64	47
endistviisi	D	7	1	6
energeetiline	A	7	1	6
energia	S	112	86	26
energiline	A	10	5	5
energiliselt	D	8	1	7
enesehaletsus	S	5	1	4
enesehinnang	S	6	3	3
enesekaitse	S	5	3	2
enesekindel	A	11	2	9
enesekindlus	S	15	11	4
enesestmõistetav	A	12	8	4
enesestmõistetavalt	D	6	2	4
enesetapja	S	10	4	6
enesetapp	S	18	11	7
eneseteostus	S	7	5	2
enesetunne	S	23	11	12
enim	A	20	19	1
ennatlik	A	8	7	1
enne	S/D	904	439	465
enneaegne	A	7	6	1
ennegi	D	11	3	8
ennekõike	D	27	21	6
ennelõuna	S	11	3	8
enneolematu	A	16	9	7
ennetama	V	12	7	5
ennetähtaegne	A	15	13	2
ennistamine	S	5	4	1
ennustama	V	71	57	14
ennustus	S	20	14	6
ennäe	D	10	2	8
ent	D	528	192	336
entsüklopeedia	S	9	8	1
entusiasm	S	8	5	3
episood	S	19	13	6
eraelu	S	14	11	3
eraisik	S	18	17	1
erakond	S	274	268	6
erakordne	A	18	6	12
erakordselt	D	23	12	11
erakorraline	A	30	29	1
eraldama	V	95	66	29
eraldamine	S	10	9	1
eraldatu	S	8	4	4
eraldi	D	93	66	27
eralduma	V	17	7	10
eramu	S	12	10	2
erand	S	29	26	3
eranditult	D	6	4	2
erandlik	A	8	5	3
erapooletu	A	16	11	5
erariie	S	6	1	5
erastama	V	35	33	2
ere	A	12	4	8
eredam	A	6	4	2
ergas	A	7	2	5
ergutama	V	5	2	3
eri	D	61	49	12
eriala	S	38	23	15
erialane	A	14	9	5
eriline	A	154	74	80
eriliselt	D	18	5	13
erinema	V	78	55	23
erinev	A	273	224	49
erinevalt	D	56	45	11
erinevus	S	51	44	7
eripära	S	21	17	4
erirong	S	6	4	2
eristama	V	23	11	12
eriteenistus	S	18	14	4
eriti	D	468	269	199
erootiline	A	14	2	12
eru	S	7	4	3
erutama	V	27	5	22
erutuma	V	7	1	6
erutus	S	15	1	14
ese	S	58	27	31
esialgne	A	55	47	8
esialgu	D	139	78	61
esietenduma	V	19	18	1
esietendus	S	6	3	3
esik	S	40	1	39
esiklaas	S	13	10	3
esikoht	S	35	34	1
esikülg	S	8	4	4
esile	D	101	65	36
esimees	S	417	368	49
esimene	N/P	1221	733	488
esindaja	S	204	187	17
esindama	V	92	81	11
esindus	S	51	48	3
esinduslik	A	15	7	8
esinduslikum	A	6	4	2
esine	A/S	5	2	3
esinema	V	141	118	23
esinemine	S	36	32	4
esinev	A	6	4	2
esiplaan	S	8	3	5
esitaja	S	15	14	1
esitama	V	374	330	44
esitamine	S	33	32	1
esitatav	A	8	7	1
esitatu	S	25	22	3
esiteks	D	44	22	22
esitlema	V	25	18	7
esitlus	S	9	7	2
esitus	S	14	13	1
esivanem	S	29	9	20
esmajoones	D	10	6	4
esmaklassiline	A	6	4	2
esmakordne	A	6	4	2
esmakordselt	D	49	40	9
esmalt	D	37	23	14
esmane	A	20	16	4
esmapilk	S	13	6	7
esmaspäev	S	124	113	11
esmaspäevane	A	10	9	1
essee	S	12	8	4
esteetiline	A	9	3	6
esteetiliselt	D	5	2	3
et	D	12318	6184	6134
etapp	S	78	75	3
etem	A	7	3	4
etendama	V	9	7	2
etendus	S	65	51	14
ette	D	938	427	511
etteaste	S	12	10	2
etteheide	S	18	4	14
ettekandja	S	25	7	18
ettekanne	S	37	31	6
ettekirjutus	S	10	8	2
ettekujutus	S	28	10	18
ettekääne	S	23	11	12
ettenähtud	A	20	15	5
etteotsa	D	9	6	3
ettepanek	S	202	178	24
ettepoole	D	21	5	16
ettevaatlik	A	42	25	17
ettevaatlikult	D	44	5	39
ettevaatlikum	A	5	1	4
ettevaatus	S	23	5	18
ettevalmistamine	S	20	19	1
ettevalmistus	S	52	42	10
ettevõte	S	235	231	4
ettevõtja	S	87	86	1
ettevõtlik	A	6	5	1
ettevõtlikkus	S	5	2	3
ettevõtlikum	A	6	4	2
ettevõtlus	S	28	27	1
ettevõtmine	S	50	38	12
eufooria	S	6	5	1
euroopalik	A	14	11	3
eurooplane	S	21	14	7
evolutsioon	S	6	1	5
fakt	S	47	34	13
faktor	S	6	5	1
fanaatik	S	5	4	1
fanaatiline	A	11	4	7
fantaasia	S	27	8	19
fantastiline	A	15	11	4
farm	S	12	6	6
farmer	S	6	5	1
feminist	S	5	3	2
fenomen	S	13	9	4
festival	S	77	75	2
figuur	S	11	6	5
fikseerima	V	30	23	7
film	S	260	212	48
filmikunst	S	6	3	3
filmima	V	24	22	2
filmitäht	S	5	3	2
filoloog	S	11	5	6
filoloogia	S	5	3	2
filosoof	S	20	5	15
filosoofia	S	20	13	7
filosoofiline	A	12	4	8
filter	S	8	3	5
finantseerima	V	19	18	1
firma	S	461	447	14
firmajuht	S	6	5	1
fond	S	128	125	3
foon	S	8	4	4
foor	S	9	5	4
formaalne	A	7	3	4
formaalselt	D	5	4	1
foto	S	84	50	34
fotoaparaat	S	9	2	7
fotograaf	S	21	16	5
fraas	S	9	2	7
frakk	S	11	4	7
frank	S/S	17	13	4
fresko	S	7	2	5
fuajee	S	14	5	9
funktsioneerima	V	5	4	1
funktsioneerimine	S	5	3	2
funktsioon	S	21	19	2
füüsika	S	17	9	8
füüsiline	A	64	55	9
füüsiliselt	D	8	4	4
gaas	S	47	36	11
